Time,UA(V),UB(V),UC(V),ULN(V),UAB(V),UBC(V),UCA(V),ULL(V),IA(A),IB(A),IC(A),I(A),PA(kW),PB(kW),PC(kW),P(kW),QA(kvar),QB(kvar),QC(kvar),Q(kvar),SA(kVA),SB(kVA),SC(kVA),S(kVA),PFA,PFB,PFC,PF,FREQ(Hz),IN(A),U_UNBL(%),I_UNBL(%)
7/21/2026 9:34:13 AM,123.19,122.84,123.05,123.03,213.02,213.26,212.99,213.09,1390.9,1391.4,1392.1,1391.5,170.931,170.476,170.99,512.397,11.069,9.96497,10.6484,31.6824,171.342,170.853,171.27,513.465,0.998,0.998,0.998,0.998,60.01,0,0.1,0.3
7/21/2026 9:34:24 AM,123.17,122.79,123.06,123.01,212.96,213.21,212.98,213.05,1391.1,1391.2,1392.1,1391.5,170.879,170.494,170.975,512.347,11.065,9.99165,10.6469,31.7036,171.318,170.817,171.28,513.414,0.997,0.998,0.998,0.998,60.01,0,0.1,0.3
7/21/2026 9:36:58 AM,123.18,122.81,123.08,123.02,212.92,213.22,213.1,213.08,1391.7,1390.9,1392.3,1391.6,170.916,170.535,170.849,512.299,11.0872,9.9774,10.6545,31.7191,171.294,170.81,171.281,513.384,0.998,0.998,0.997,0.998,60.01,0,0.1,0.3
7/21/2026 9:44:51 AM,123.79,123.52,123.61,123.64,214.18,214.29,213.98,214.15,1248.8,1249.5,1250.2,1249.5,154.267,154.123,154.221,462.611,9.03786,7.87762,8.54324,25.4587,154.613,154.285,154.495,463.393,0.998,0.999,0.998,0.998,59.99,0,0.1,0.3
7/21/2026 9:46:52 AM,123.85,123.56,123.73,123.71,214.2,214.44,214.15,214.26,1248.8,1249.3,1250.6,1249.6,154.447,154.083,154.359,462.889,9.03381,7.89777,8.53202,25.4636,154.679,154.372,154.596,463.647,0.999,0.998,0.998,0.998,59.99,0,0.1,0.3
7/21/2026 9:47:03 AM,123.86,123.58,123.74,123.73,214.27,214.48,214.14,214.3,1249.4,1249.1,1250.3,1249.6,154.387,154.211,154.36,462.958,9.03785,7.90917,8.52999,25.477,154.738,154.381,154.643,463.763,0.998,0.999,0.998,0.998,59.99,0,0.1,0.3
7/21/2026 9:50:10 AM,124.34,124.12,124.21,124.22,215.11,215.36,215.01,215.16,1110.9,1110.4,1112.2,1111.2,137.879,137.767,137.912,413.558,7.15137,6.10195,6.69204,19.9454,138.139,137.879,138.078,414.096,0.998,0.999,0.999,0.999,59.99,0,0.1,0.3
7/21/2026 9:50:54 AM,124.33,124.15,124.17,124.22,215.18,215.31,214.91,215.13,1111,1111.2,1111.8,1111.3,137.984,137.747,137.833,413.564,7.16168,6.10276,6.72931,19.9938,138.129,137.92,138.049,414.097,0.999,0.999,0.998,0.999,60,0,0.1,0.3
7/21/2026 9:51:16 AM,124.43,124.18,124.27,124.29,215.27,215.43,215.1,215.27,1111.2,1110.8,1111.9,1111.3,138.002,137.79,138.016,413.808,7.19582,6.09299,6.68593,19.9747,138.24,137.959,138.132,414.33,0.998,0.999,0.999,0.999,60.01,0,0.1,0.3
7/21/2026 9:55:40 AM,124.52,124.32,124.39,124.41,215.48,215.67,215.27,215.47,1042.1,1042.7,1043.6,1042.8,129.647,129.422,129.611,388.68,6.2828,5.26614,5.88772,17.4367,129.791,129.592,129.711,389.094,0.999,0.999,0.999,0.999,60.01,0,0.1,0.3
7/21/2026 9:57:08 AM,124.5,124.32,124.32,124.38,215.54,215.59,215.17,215.43,1042.7,1042.3,1043.4,1042.8,129.565,129.406,129.629,388.6,6.31432,5.27144,5.88142,17.4672,129.77,129.544,129.73,389.044,0.998,0.999,0.999,0.999,60.01,0,0.1,0.3
7/21/2026 9:59:42 AM,124.44,124.26,124.28,124.33,215.45,215.47,215.1,215.34,1042.8,1042.3,1044.7,1043.3,129.603,129.345,129.464,388.412,6.28159,5.30401,5.86248,17.4481,129.714,129.492,129.64,388.845,0.999,0.999,0.999,0.999,60.01,0,0.1,0.4
7/21/2026 10:02:05 AM,124.62,124.4,124.5,124.51,215.62,215.75,215.58,215.65,973.35,972.85,974.82,973.67,121.17,120.927,121.078,363.176,5.47363,4.54922,5.08056,15.1034,121.254,121.036,121.232,363.521,0.999,0.999,0.999,0.999,59.99,0,0,0.3
7/21/2026 10:03:11 AM,124.56,124.34,124.43,124.44,215.53,215.71,215.38,215.54,973.49,972.97,974.93,973.8,121.06,120.914,120.986,362.96,5.48858,4.56042,5.0938,15.1428,121.185,120.972,121.163,363.32,0.999,1,0.999,0.999,60,0,0.1,0.4
7/21/2026 10:04:50 AM,124.55,124.33,124.42,124.43,215.49,215.67,215.4,215.52,973.79,973.2,974.07,973.69,121.142,120.796,121,362.939,5.44959,4.55004,5.07181,15.0714,121.218,120.914,121.147,363.278,0.999,0.999,0.999,0.999,60,0,0.1,0.2
7/21/2026 10:06:07 AM,125,124.75,124.88,124.88,216.29,216.4,216.19,216.3,836.13,834.56,836,835.56,104.315,104.051,104.295,312.661,4.01106,3.22936,3.68411,10.9245,104.395,104.16,104.344,312.899,0.999,0.999,1,0.999,60,0,0.1,0.3
7/21/2026 10:10:09 AM,124.87,124.69,124.77,124.78,216.08,216.29,216,216.12,836.26,835.1,835.48,835.61,104.211,103.968,104.257,312.436,4.0448,3.22489,3.64135,10.911,104.302,104.061,104.299,312.661,0.999,0.999,1,0.999,60,0,0.1,0.2
7/21/2026 10:10:31 AM,124.86,124.67,124.76,124.76,216.09,216.23,215.95,216.09,835.75,834.79,836.09,835.54,104.23,103.986,104.221,312.436,4.0343,3.2255,3.67169,10.9315,104.289,104.096,104.276,312.66,0.999,0.999,0.999,0.999,59.99,0,0.1,0.2
7/21/2026 10:12:10 AM,125.18,125.1,125.06,125.11,216.78,216.88,216.45,216.7,696.63,697.96,697.49,697.36,87.243,87.0782,87.2555,261.577,2.80832,2.10167,2.46808,7.37807,87.2889,87.1438,87.2769,261.71,0.999,0.999,1,0.999,60,0,0.1,0.4
7/21/2026 10:13:49 AM,125.33,125.21,125.17,125.24,217,217.05,216.66,216.9,697.44,696.7,698.16,697.43,87.3694,87.1312,87.3144,261.815,2.85014,2.09556,2.44812,7.39382,87.4017,87.2033,87.355,261.96,1,0.999,1,0.999,60,0,0.1,0.3
7/21/2026 10:17:07 AM,125.24,125.01,125.12,125.12,216.69,216.81,216.65,216.72,698.03,697.26,697.38,697.56,87.2383,87.057,87.2775,261.573,2.82428,2.10534,2.48437,7.41399,87.3393,87.068,87.3282,261.735,0.999,1,0.999,0.999,60.01,0,0,0.1
7/21/2026 10:18:02 AM,125.5,125.33,125.42,125.41,217.18,217.34,217.16,217.22,556.51,554.42,556.6,555.85,69.7134,69.4975,69.7335,208.944,1.84237,1.22273,1.50495,4.57006,69.7746,69.5115,69.7738,209.06,0.999,1,0.999,0.999,60,0,0.1,0.2
7/21/2026 10:19:08 AM,125.54,125.37,125.41,125.44,217.35,217.3,217.15,217.27,555.7,555.27,556.51,555.83,69.7619,69.519,69.6969,208.978,1.83167,1.2211,1.52083,4.5736,69.772,69.5656,69.7435,209.081,1,0.999,0.999,1,60.01,0,0.1,0.3
7/21/2026 10:21:31 AM,125.45,125.33,125.36,125.38,217.17,217.31,217.01,217.16,555.91,554.94,556.68,555.84,69.6912,69.4535,69.7055,208.85,1.83934,1.21072,1.49762,4.54769,69.7171,69.5093,69.7148,208.941,1,0.999,1,1,60.02,0,0.1,0.2
7/21/2026 10:23:32 AM,125.63,125.52,125.52,125.56,217.52,217.57,217.31,217.47,483.24,482.25,483.36,482.95,60.647,60.4026,60.6652,181.715,1.44032,0.85613,1.10728,3.40373,60.6546,60.4431,60.6901,181.788,1,0.999,1,1,59.99,0,0.1,0.1
7/21/2026 10:24:49 AM,125.58,125.52,125.52,125.54,217.49,217.63,217.21,217.44,483.35,482.44,482.99,482.93,60.5997,60.5067,60.6162,181.723,1.39648,0.85776,1.12825,3.38249,60.6405,60.5093,60.6689,181.819,0.999,1,0.999,0.999,59.99,0,0.1,0.1
7/21/2026 10:25:22 AM,125.6,125.52,125.56,125.56,217.45,217.62,217.37,217.48,483.65,481.85,483.54,483.01,60.6381,60.4556,60.6666,181.76,1.43042,0.85695,1.12907,3.41644,60.6528,60.5024,60.6931,181.848,1,0.999,1,1,59.98,0,0.1,0.2
7/21/2026 10:28:18 AM,125.6,125.59,125.65,125.61,217.48,217.78,217.45,217.57,417.45,416.42,418.38,417.42,52.4188,52.1997,52.4868,157.105,1.13302,0.5905,0.79248,2.51601,52.4372,52.2359,52.5326,157.206,1,0.999,0.999,0.999,59.99,0,0.1,0.4
7/21/2026 10:29:13 AM,125.7,125.53,125.64,125.62,217.59,217.72,217.44,217.58,416.71,416.65,419,417.45,52.3232,52.2262,52.4693,157.019,1.09181,0.56363,0.79737,2.45281,52.383,52.2309,52.496,157.11,0.999,1,0.999,0.999,60.01,0,0.1,0.6
7/21/2026 10:30:30 AM,125.38,125.3,125.35,125.34,217.1,217.3,216.91,217.11,418.02,416.19,417.94,417.39,52.2999,52.1099,52.4009,156.811,1.1205,0.59213,0.78108,2.49371,52.3452,52.1698,52.4245,156.939,0.999,0.999,1,0.999,60,0,0.1,0.4
7/21/2026 10:32:42 AM,125.57,125.65,125.61,125.61,217.58,217.82,217.28,217.56,347.58,346.76,349.02,347.79,43.6084,43.5235,43.6958,130.828,0.78592,0.37026,0.54142,1.6976,43.6648,43.5919,43.7459,131.003,0.999,0.998,0.999,0.999,60,0,0.1,0.5
7/21/2026 10:33:04 AM,125.73,125.77,125.77,125.76,217.84,218.06,217.55,217.82,347.57,346.99,349.69,348.08,43.6637,43.5762,43.7863,131.026,0.82269,0.34726,0.49988,1.66983,43.7427,43.614,43.8303,131.187,0.998,0.999,0.999,0.999,60.01,0,0.1,0.6
7/21/2026 10:34:21 AM,125.9,125.87,125.98,125.91,217.97,218.32,217.97,218.09,347.92,345.98,349.17,347.69,43.7637,43.5071,43.8742,131.145,0.84108,0.33525,0.46812,1.64444,43.8,43.5523,43.9273,131.28,0.999,0.999,0.999,0.999,60.01,0,0.1,0.5
7/21/2026 10:35:38 AM,126.02,126,126.11,126.05,218.18,218.54,218.24,218.32,278.52,276.46,279.01,278,34.9595,34.7907,35.1035,104.854,0.59358,0.14371,0.24475,0.98204,35.0456,34.8285,35.1723,105.046,0.998,0.999,0.998,0.998,60.01,0,0.1,0.4
7/21/2026 10:36:33 AM,125.78,125.78,125.82,125.79,217.76,218.16,217.64,217.85,278.49,277.13,278.52,278.05,34.879,34.6857,35.0505,104.615,0.60914,0.1435,0.25004,1.00269,34.9571,34.7437,35.1032,104.804,0.998,0.998,0.998,0.998,60.01,0,0.2,0.4
7/21/2026 10:37:50 AM,125.74,125.69,125.79,125.74,217.66,218,217.7,217.78,277.98,277.34,278.71,278.01,34.8656,34.6672,34.9458,104.479,0.57358,0.1606,0.26267,0.99685,34.9353,34.7358,35.0354,104.707,0.998,0.998,0.997,0.998,60,0,0.1,0.3
7/21/2026 10:39:51 AM,125.8,125.77,125.86,125.81,217.77,218.21,217.76,217.91,139.52,138.03,140.34,139.3,17.426,17.2099,17.5199,52.1559,0.3178,-0.02585,-0.01079,0.28116,17.5703,17.3282,17.6502,52.5487,0.992,0.993,0.993,0.993,60.01,0,0.1,0.5
7/21/2026 10:40:46 AM,125.78,125.74,125.8,125.77,217.75,218.13,217.64,217.84,139.77,138.61,139.88,139.42,17.3856,17.3168,17.436,52.1385,0.22103,-0.01649,0.06312,0.26766,17.5263,17.4168,17.5896,52.5326,0.992,0.994,0.991,0.992,60.01,0,0.1,0.6
7/21/2026 10:41:30 AM,125.79,125.76,125.78,125.78,217.81,218.08,217.64,217.84,139.47,138.26,140.17,139.3,17.4131,17.27,17.4574,52.1405,0.25881,-0.01445,0.03523,0.27958,17.524,17.3838,17.601,52.5088,0.994,0.993,0.992,0.993,59.99,0,0.1,0.9
