Time,UA_THD(%),UB_THD(%),UC_THD(%),U_THD(%),IA_THD(%),IB_THD(%),IC_THD(%),I_THD(%),UA_OTHD(%),UA_ETHD(%),UA_THFF(%),UA_CF,UB_OTHD(%),UB_ETHD(%),UB_THFF(%),UB_CF,UC_OTHD(%),UC_ETHD(%),UC_THFF(%),UC_CF,IA_OTHD(%),IA_ETHD(%),IA_KF,IB_OTHD(%),IB_ETHD(%),IB_KF,IC_OTHD(%),IC_ETHD(%),IC_KF
7/21/2026 9:34:13 AM,2.01,2.2,2.05,2.09,1.59,1.52,1.64,1.58,2.03,0.1,0.46,1.409,2.21,0.12,0.48,1.409,2.06,0.15,0.48,1.416,1.59,0.15,1,1.52,0.15,1,1.65,0.08,1
7/21/2026 9:34:57 AM,2.01,2.19,2.05,2.09,1.58,1.49,1.61,1.56,2,0.13,0.45,1.408,2.19,0.1,0.48,1.408,2.04,0.12,0.47,1.411,1.55,0.12,1,1.46,0.11,1,1.59,0.07,1
7/21/2026 9:35:19 AM,1.97,2.17,2.01,2.05,1.52,1.46,1.56,1.51,1.97,0.13,0.44,1.406,2.16,0.11,0.46,1.407,2.02,0.08,0.46,1.412,1.52,0.13,1,1.45,0.14,1,1.56,0.06,1
7/21/2026 9:45:35 AM,1.94,2.13,2,2.02,1.74,1.64,1.77,1.72,1.94,0.18,0.49,1.407,2.13,0.12,0.51,1.405,2,0.17,0.5,1.412,1.73,0.21,1,1.62,0.24,1,1.77,0.14,1
7/21/2026 9:45:46 AM,1.9,2.08,1.94,1.98,1.62,1.52,1.65,1.59,1.89,0.21,0.46,1.406,2.09,0.13,0.49,1.404,1.93,0.17,0.48,1.409,1.61,0.18,1,1.51,0.2,1,1.65,0.13,1
7/21/2026 9:47:03 AM,1.94,2.13,1.99,2.02,1.71,1.64,1.75,1.7,1.93,0.15,0.49,1.407,2.12,0.17,0.52,1.406,1.99,0.15,0.5,1.415,1.65,0.19,1,1.55,0.22,1,1.67,0.14,1
7/21/2026 9:50:54 AM,1.79,2.01,1.88,1.89,1.65,1.52,1.69,1.62,1.76,0.25,0.53,1.408,1.99,0.24,0.55,1.404,1.86,0.22,0.55,1.41,1.63,0.25,1,1.5,0.26,1,1.68,0.16,1
7/21/2026 9:51:16 AM,1.82,2.02,1.91,1.92,1.74,1.6,1.76,1.7,1.81,0.16,0.53,1.407,2.03,0.18,0.57,1.407,1.9,0.15,0.56,1.411,1.68,0.22,1,1.53,0.27,1,1.69,0.17,1
7/21/2026 9:51:38 AM,1.8,2.03,1.9,1.91,1.68,1.53,1.71,1.64,1.8,0.16,0.54,1.409,2.02,0.15,0.57,1.404,1.89,0.14,0.55,1.412,1.71,0.22,1,1.57,0.25,1,1.74,0.16,1
7/21/2026 9:56:13 AM,1.75,2,1.88,1.88,1.72,1.57,1.76,1.68,1.75,0.16,0.54,1.406,2,0.19,0.59,1.403,1.88,0.2,0.58,1.413,1.67,0.23,1,1.53,0.25,1,1.73,0.14,1
7/21/2026 9:56:24 AM,1.77,2.03,1.89,1.9,1.69,1.54,1.71,1.64,1.77,0.17,0.54,1.407,2.02,0.16,0.56,1.406,1.89,0.15,0.57,1.414,1.66,0.22,1,1.5,0.24,1,1.7,0.14,1
7/21/2026 9:59:31 AM,1.82,2.05,1.93,1.94,1.74,1.64,1.76,1.72,1.82,0.16,0.52,1.409,2.04,0.16,0.56,1.406,1.92,0.13,0.55,1.412,1.79,0.23,1,1.67,0.24,1,1.84,0.14,1
7/21/2026 10:00:48 AM,1.77,2.02,1.89,1.89,1.8,1.68,1.85,1.77,1.76,0.19,0.52,1.405,2,0.17,0.55,1.404,1.88,0.2,0.54,1.415,1.77,0.2,1,1.65,0.2,1,1.81,0.14,1
7/21/2026 10:01:21 AM,1.76,2,1.88,1.88,1.78,1.64,1.83,1.75,1.76,0.15,0.52,1.408,1.99,0.14,0.56,1.407,1.87,0.15,0.55,1.414,1.8,0.2,1,1.65,0.2,1,1.85,0.14,1
7/21/2026 10:03:00 AM,1.75,2.01,1.89,1.89,1.76,1.6,1.79,1.72,1.75,0.17,0.49,1.407,2.02,0.17,0.53,1.406,1.88,0.15,0.53,1.416,1.77,0.19,1,1.62,0.23,1,1.8,0.14,1
7/21/2026 10:05:34 AM,1.79,2.01,1.91,1.9,1.98,1.85,2.06,1.96,1.79,0.14,0.52,1.409,2.01,0.14,0.55,1.407,1.91,0.13,0.53,1.412,1.98,0.21,1,1.83,0.19,1,2.04,0.15,1
7/21/2026 10:05:45 AM,1.79,2,1.88,1.89,1.98,1.81,2.02,1.94,1.78,0.14,0.54,1.408,2.01,0.13,0.56,1.405,1.89,0.12,0.53,1.412,1.97,0.21,1,1.8,0.21,1,2.05,0.16,1
7/21/2026 10:09:14 AM,1.84,2.07,1.94,1.95,2.04,1.84,2.09,1.99,1.81,0.37,0.86,1.407,2.04,0.38,0.9,1.41,1.9,0.38,0.9,1.413,2.06,0.16,1,1.89,0.16,1,2.14,0.15,1
7/21/2026 10:11:26 AM,1.9,2.11,1.99,2,2.13,1.87,2.2,2.07,1.89,0.18,0.66,1.407,2.1,0.15,0.69,1.406,1.98,0.15,0.7,1.412,2.18,0.27,1,1.92,0.25,1,2.23,0.19,1
7/21/2026 10:12:21 AM,1.93,2.15,2.02,2.03,2.17,1.94,2.25,2.12,1.92,0.16,0.67,1.407,2.13,0.13,0.68,1.409,1.99,0.15,0.67,1.416,2.18,0.28,1,1.94,0.26,1,2.24,0.19,1
7/21/2026 10:15:06 AM,1.89,2.08,1.93,1.97,2.23,1.99,2.29,2.17,1.89,0.13,0.66,1.409,2.08,0.11,0.67,1.409,1.93,0.11,0.67,1.417,2.25,0.27,1,2.04,0.25,1,2.36,0.2,1
7/21/2026 10:19:19 AM,1.97,2.13,1.99,2.03,2.57,2.23,2.58,2.46,1.97,0.15,0.69,1.406,2.13,0.11,0.71,1.407,1.99,0.11,0.7,1.412,2.58,0.35,1,2.24,0.33,1,2.64,0.28,1
7/21/2026 10:19:30 AM,1.99,2.15,2,2.05,2.61,2.31,2.61,2.51,1.97,0.13,0.69,1.408,2.12,0.18,0.68,1.407,1.99,0.18,0.66,1.414,2.64,0.34,1,2.31,0.33,1,2.65,0.26,1
7/21/2026 10:19:41 AM,1.93,2.09,1.94,1.99,2.51,2.26,2.58,2.45,1.91,0.16,0.68,1.405,2.07,0.17,0.71,1.405,1.94,0.14,0.68,1.413,2.51,0.35,1,2.2,0.3,1,2.54,0.25,1
