Time,UA(deg),UB(deg),UC(deg),IA_UA(deg),IB_UA(deg),IC_UA(deg)
7/21/2026 9:34:13 AM,0,239.9,119.9,322.7,202.8,82.5
7/21/2026 9:34:57 AM,0,239.9,119.9,322.8,202.8,82.6
7/21/2026 9:35:19 AM,0,239.9,119.9,322.8,202.8,82.6
7/21/2026 9:45:35 AM,0,239.9,119.9,323.5,203.6,83.3
7/21/2026 9:45:46 AM,0,239.9,119.9,323.5,203.6,83.3
7/21/2026 9:47:03 AM,0,239.9,119.9,323.5,203.6,83.3
7/21/2026 9:50:54 AM,0,239.9,119.9,324.2,204.2,84
7/21/2026 9:51:16 AM,0,239.9,120,324.3,204.3,84.1
7/21/2026 9:51:38 AM,0,239.9,119.9,324.2,204.3,83.9
7/21/2026 9:56:13 AM,0,239.9,120,324.6,204.7,84.4
7/21/2026 9:56:24 AM,0,239.9,120,324.6,204.7,84.4
7/21/2026 9:59:31 AM,0,239.9,119.9,324.7,204.6,84.4
7/21/2026 10:00:48 AM,0,239.9,119.9,324.9,205.1,84.7
7/21/2026 10:01:21 AM,0,239.9,119.9,325,205,84.7
7/21/2026 10:03:00 AM,0,239.9,119.9,324.9,205,84.7
7/21/2026 10:05:34 AM,0,239.9,119.9,325.6,205.7,85.4
7/21/2026 10:05:45 AM,0,239.9,119.9,325.6,205.7,85.4
7/21/2026 10:09:14 AM,0,239.9,119.9,325.6,205.7,85.4
7/21/2026 10:11:26 AM,0,239.9,119.9,326.3,206.5,86.1
7/21/2026 10:12:21 AM,0,239.9,119.9,326.3,206.5,86.1
7/21/2026 10:15:06 AM,0,239.9,120,326.4,206.5,86.1
7/21/2026 10:19:19 AM,0,239.9,119.9,327,207.2,86.7
7/21/2026 10:19:30 AM,0,239.9,119.9,327.1,207.4,86.8
7/21/2026 10:19:41 AM,0,239.9,119.9,327.1,207.4,86.9
7/21/2026 10:25:22 AM,0,239.9,119.9,327.5,207.9,87.3
7/21/2026 10:25:55 AM,0,239.9,119.9,327.6,207.8,87.1
7/21/2026 10:27:01 AM,0,239.9,119.9,327.8,208.3,87.7
7/21/2026 10:29:46 AM,0,239.9,119.9,327.9,208.3,87.6
7/21/2026 10:29:57 AM,0,239.8,119.9,327.8,208.2,87.5
7/21/2026 10:31:58 AM,0,239.9,120,328.5,208.7,88.1
7/21/2026 10:32:42 AM,0,239.8,119.9,328.4,208.8,88.1
7/21/2026 10:34:21 AM,0,239.8,119.9,328.2,208.7,87.9
7/21/2026 10:34:43 AM,0,239.8,119.9,328.6,209.1,88.3
7/21/2026 10:34:54 AM,0,239.8,119.9,328.5,209.1,88.1
7/21/2026 10:35:38 AM,0,239.9,119.9,328.5,209.2,88.3
7/21/2026 10:39:29 AM,0,239.7,119.9,329,210.4,87.7
7/21/2026 10:40:46 AM,0,239.8,119.9,329.3,210.6,88.4
7/21/2026 10:41:30 AM,0,239.8,119.9,329,210,87.9
EOF,,,,,,
