Time,UA(V),UB(V),UC(V),ULN(V),UAB(V),UBC(V),UCA(V),ULL(V),IA(A),IB(A),IC(A),I(A),PA(kW),PB(kW),PC(kW),P(kW),QA(kvar),QB(kvar),QC(kvar),Q(kvar),SA(kVA),SB(kVA),SC(kVA),S(kVA),PFA,PFB,PFC,PF,FREQ(Hz),IN(A),U_UNBL(%),I_UNBL(%)
7/21/2026 9:34:13 AM,0,0,0,0,500.66,501.92,500.94,501.17,602.43,604.3,604.25,603.66,0,0,0,519.243,0,0,0,67.4585,0,0,0,523.332,1,1,1,0.992,60.01,0.5285,0.2,0.2
7/21/2026 9:34:57 AM,0,0,0,0,500.94,502.03,501.28,501.41,602.47,604.3,604.35,603.71,0,0,0,519.576,0,0,0,67.489,0,0,0,523.707,1,1,1,0.992,59.99,0.5752,0.1,0.2
7/21/2026 9:35:19 AM,0,0,0,0,500.91,502.13,501.32,501.45,602.35,604.23,604.39,603.66,0,0,0,519.578,0,0,0,67.4697,0,0,0,523.715,1,1,1,0.992,59.99,0.6139,0.1,0.2
7/21/2026 9:45:35 AM,0,0,0,0,502.13,502.95,502.18,502.42,541.26,542.83,542.73,542.27,0,0,0,468.457,0,0,0,54.6703,0,0,0,471.44,1,1,1,0.994,59.99,1.0344,0.1,0.2
7/21/2026 9:45:46 AM,0,0,0,0,502.49,503.46,502.8,502.92,541.46,542.83,542.93,542.41,0,0,0,468.937,0,0,0,54.6695,0,0,0,471.883,1,1,1,0.994,60,0.6484,0.1,0.2
7/21/2026 9:47:03 AM,0,0,0,0,502.79,503.14,502.7,502.88,541.22,542.79,542.72,542.24,0,0,0,468.968,0,0,0,54.688,0,0,0,471.939,1,1,1,0.994,59.99,0.7699,0.1,0.2
7/21/2026 9:50:54 AM,0,0,0,0,503.68,504.08,503.53,503.76,481.58,483.02,482.86,482.49,0,0,0,418.435,0,0,0,43.3631,0,0,0,420.467,1,1,1,0.995,60.01,0.7677,0.1,0.2
7/21/2026 9:51:16 AM,0,0,0,0,504.01,504.36,503.87,504.08,481.57,482.86,482.74,482.39,0,0,0,418.69,0,0,0,43.3608,0,0,0,420.735,1,1,1,0.995,60.01,0.4917,0.1,0.2
7/21/2026 9:51:38 AM,0,0,0,0,503.78,504.33,503.62,503.91,481.3,483.04,482.96,482.44,0,0,0,418.553,0,0,0,43.3152,0,0,0,420.58,1,1,1,0.995,60,0.8173,0.1,0.3
7/21/2026 9:56:13 AM,0,0,0,0,503.92,504.2,503.76,503.96,451.58,453.11,453.19,452.63,0,0,0,393.046,0,0,0,38.2129,0,0,0,394.69,1,1,1,0.996,60.01,0.5459,0.1,0.2
7/21/2026 9:56:24 AM,0,0,0,0,503.94,504.24,503.84,504.01,452.03,453,452.82,452.62,0,0,0,393.002,0,0,0,38.1802,0,0,0,394.656,1,1,1,0.996,60,0.9262,0,0.2
7/21/2026 9:59:31 AM,0,0,0,0,503.4,503.89,503.29,503.53,451.67,453.39,453.22,452.76,0,0,0,392.705,0,0,0,38.2295,0,0,0,394.306,1,1,1,0.996,60.01,0.7089,0.1,0.2
7/21/2026 10:00:48 AM,0,0,0,0,503.82,504.49,503.71,504.01,421.69,423.46,423.16,422.77,0,0,0,367.323,0,0,0,33.3511,0,0,0,368.698,1,1,1,0.996,60.01,0.554,0.1,0.3
7/21/2026 10:01:21 AM,0,0,0,0,503.8,504.38,503.86,504.01,421.92,422.86,423.14,422.64,0,0,0,367.308,0,0,0,33.3667,0,0,0,368.639,1,1,1,0.996,60.01,1.1941,0.1,0.2
7/21/2026 10:03:00 AM,0,0,0,0,503.51,503.94,503.31,503.59,421.62,422.96,423.15,422.57,0,0,0,366.956,0,0,0,33.3883,0,0,0,368.31,1,1,1,0.996,60.01,1.2753,0.1,0.3
7/21/2026 10:05:34 AM,0,0,0,0,504.16,504.66,504.1,504.31,362.04,363.08,363.32,362.81,0,0,0,315.735,0,0,0,24.7481,0,0,0,316.553,1,1,1,0.997,59.99,1.1292,0.1,0.3
7/21/2026 10:05:45 AM,0,0,0,0,504.26,504.68,504.16,504.36,361.98,362.93,363.37,362.76,0,0,0,315.709,0,0,0,24.7318,0,0,0,316.549,1,1,1,0.997,59.99,1.4319,0.1,0.3
7/21/2026 10:09:14 AM,0,0,0,0,504.06,504.39,503.91,504.12,362.16,362.91,363.32,362.79,0,0,0,315.591,0,0,0,24.7237,0,0,0,316.465,1,1,1,0.997,59.99,1.2055,0.1,0.3
7/21/2026 10:11:26 AM,0,0,0,0,504.52,504.76,504.12,504.47,302.37,303.02,303.72,303.04,0,0,0,263.885,0,0,0,17.3677,0,0,0,264.439,1,1,1,0.998,59.99,1.1843,0.1,0.4
7/21/2026 10:12:21 AM,0,0,0,0,504.46,504.55,504.06,504.35,302.38,303.14,303.42,302.98,0,0,0,263.799,0,0,0,17.34,0,0,0,264.338,1,1,1,0.998,60,0.873,0.1,0.3
7/21/2026 10:15:06 AM,0,0,0,0,504.81,504.82,504.33,504.65,302.21,303.03,303.23,302.82,0,0,0,264.038,0,0,0,17.3586,0,0,0,264.558,1,1,1,0.998,59.99,1.0644,0.1,0.3
7/21/2026 10:19:19 AM,0,0,0,0,504.32,504.77,504.39,504.5,241,241.55,242.11,241.55,0,0,0,210.64,0,0,0,11.3511,0,0,0,210.93,1,1,1,0.999,60.02,0.7621,0.1,0.4
7/21/2026 10:19:30 AM,0,0,0,0,504.49,504.69,504.04,504.41,240.96,241.63,241.85,241.48,0,0,0,210.569,0,0,0,11.3795,0,0,0,210.863,1,1,1,0.999,60.02,1.137,0.1,0.4
7/21/2026 10:19:41 AM,0,0,0,0,504.63,504.94,504.32,504.63,240.65,241.75,241.91,241.44,0,0,0,210.614,0,0,0,11.3668,0,0,0,210.884,1,1,1,0.999,60.02,0.8067,0.1,0.4
7/21/2026 10:25:22 AM,0,0,0,0,504.68,504.86,504.18,504.57,209.13,210.09,210.28,209.83,0,0,0,183.047,0,0,0,8.80826,0,0,0,183.268,1,1,1,0.999,59.99,1.0729,0.1,0.5
7/21/2026 10:25:55 AM,0,0,0,0,504.68,504.93,504.41,504.67,209.29,209.99,210.16,209.81,0,0,0,183.11,0,0,0,8.8028,0,0,0,183.308,1,1,1,0.999,59.98,0.7286,0.1,0.4
7/21/2026 10:27:01 AM,0,0,0,0,504.71,505.11,504.48,504.77,180.87,181.62,182.06,181.52,0,0,0,158.281,0,0,0,6.80905,0,0,0,158.503,1,1,1,0.999,59.99,0.9241,0.1,0.5
7/21/2026 10:29:46 AM,0,0,0,0,504.27,504.6,503.75,504.21,180.7,181.72,181.93,181.45,0,0,0,158.097,0,0,0,6.872,0,0,0,158.312,1,1,1,0.999,59.99,1.0087,0.1,0.6
7/21/2026 10:29:57 AM,0,0,0,0,504.2,504.6,503.8,504.2,180.79,181.25,182.12,181.38,0,0,0,158.104,0,0,0,6.82918,0,0,0,158.316,1,1,1,0.999,60,0.88,0.1,0.5
7/21/2026 10:31:58 AM,0,0,0,0,504.06,504.34,503.63,504.01,150.44,151.37,151.83,151.21,0,0,0,131.75,0,0,0,5.06891,0,0,0,132,1,1,1,0.998,59.99,0.6864,0.1,0.6
7/21/2026 10:32:42 AM,0,0,0,0,504.05,504.28,503.38,503.9,150.13,151.29,151.71,151.05,0,0,0,131.732,0,0,0,5.05137,0,0,0,131.974,1,1,1,0.998,60,0.9119,0.1,0.8
7/21/2026 10:34:21 AM,0,0,0,0,504.84,505.52,504.43,504.93,150.11,151.2,151.92,151.08,0,0,0,132.053,0,0,0,5.01548,0,0,0,132.312,1,1,1,0.998,60.02,0.5966,0.1,0.7
7/21/2026 10:34:43 AM,0,0,0,0,505.08,505.64,504.56,505.09,120.47,121.28,121.89,121.21,0,0,0,105.599,0,0,0,3.57035,0,0,0,105.885,1,1,1,0.997,60.01,0.9025,0.1,0.9
7/21/2026 10:34:54 AM,0,0,0,0,504.96,505.56,504.39,504.97,120.22,121.1,121.77,121.03,0,0,0,105.557,0,0,0,3.53878,0,0,0,105.834,1,1,1,0.997,60,0.508,0.1,0.8
7/21/2026 10:35:38 AM,0,0,0,0,505.21,505.84,504.66,505.24,120.2,120.98,121.98,121.05,0,0,0,105.63,0,0,0,3.56263,0,0,0,105.905,1,1,1,0.997,60.02,0.5624,0.1,0.9
7/21/2026 10:39:29 AM,0,0,0,0,503.62,504.17,503.2,503.66,60.372,60.774,62.002,61.05,0,0,0,52.7829,0,0,0,1.78765,0,0,0,53.2157,1,1,1,0.992,60.01,1.6362,0.1,1.8
7/21/2026 10:40:46 AM,0,0,0,0,503.37,503.72,502.98,503.36,60.291,61.208,61.2,60.9,0,0,0,52.7653,0,0,0,1.76662,0,0,0,53.174,1,1,1,0.992,60.01,1.0944,0.1,1.6
7/21/2026 10:41:30 AM,0,0,0,0,503.21,503.55,502.82,503.19,60.073,61.105,61.466,60.882,0,0,0,52.7237,0,0,0,1.7692,0,0,0,53.0825,1,1,1,0.993,59.99,0.8374,0.1,1.7
