Time,UA_THD(%),UB_THD(%),UC_THD(%),U_THD(%),IA_THD(%),IB_THD(%),IC_THD(%),I_THD(%),UA_OTHD(%),UA_ETHD(%),UA_THFF(%),UA_CF,UB_OTHD(%),UB_ETHD(%),UB_THFF(%),UB_CF,UC_OTHD(%),UC_ETHD(%),UC_THFF(%),UC_CF,IA_OTHD(%),IA_ETHD(%),IA_KF,IB_OTHD(%),IB_ETHD(%),IB_KF,IC_OTHD(%),IC_ETHD(%),IC_KF
7/21/2026 9:34:13 AM,1.9,1.8,1.77,1.82,1.5,1.53,1.62,1.55,1.92,0.06,0.53,1.402,1.81,0.09,0.54,1.404,1.79,0.06,0.52,1.402,1.51,0.16,1,1.53,0.12,1,1.63,0.08,1
7/21/2026 9:34:57 AM,1.92,1.82,1.78,1.84,1.48,1.51,1.6,1.53,1.92,0.07,0.52,1.401,1.82,0.07,0.54,1.402,1.79,0.07,0.52,1.402,1.48,0.13,1,1.5,0.08,1,1.6,0.09,1
7/21/2026 9:35:19 AM,1.91,1.81,1.78,1.84,1.43,1.45,1.55,1.48,1.91,0.05,0.52,1.402,1.81,0.05,0.53,1.403,1.77,0.06,0.51,1.402,1.42,0.14,1,1.45,0.09,1,1.55,0.08,1
7/21/2026 9:45:35 AM,1.87,1.75,1.7,1.77,1.51,1.54,1.64,1.56,1.87,0.06,0.56,1.398,1.75,0.06,0.56,1.4,1.7,0.08,0.54,1.403,1.53,0.21,1,1.55,0.16,1,1.66,0.14,1
7/21/2026 9:45:46 AM,1.87,1.76,1.71,1.78,1.52,1.54,1.65,1.57,1.86,0.06,0.56,1.399,1.76,0.07,0.55,1.4,1.71,0.09,0.53,1.402,1.5,0.2,1,1.54,0.17,1,1.64,0.13,1
7/21/2026 9:47:03 AM,1.88,1.78,1.73,1.8,1.64,1.64,1.74,1.67,1.88,0.06,0.56,1.399,1.78,0.08,0.55,1.403,1.72,0.07,0.54,1.405,1.57,0.23,1,1.57,0.18,1,1.69,0.15,1
7/21/2026 9:50:54 AM,1.81,1.72,1.64,1.72,1.54,1.58,1.7,1.61,1.81,0.08,0.55,1.399,1.72,0.1,0.56,1.401,1.64,0.11,0.54,1.403,1.5,0.3,1,1.55,0.23,1,1.68,0.19,1
7/21/2026 9:51:16 AM,1.83,1.73,1.67,1.74,1.6,1.63,1.76,1.66,1.83,0.08,0.56,1.398,1.74,0.08,0.56,1.402,1.67,0.08,0.54,1.403,1.54,0.27,1,1.58,0.23,1,1.72,0.15,1
7/21/2026 9:51:38 AM,1.83,1.73,1.66,1.74,1.52,1.56,1.72,1.6,1.83,0.09,0.56,1.399,1.73,0.08,0.57,1.401,1.66,0.06,0.55,1.403,1.56,0.26,1,1.59,0.2,1,1.76,0.16,1
7/21/2026 9:56:13 AM,1.83,1.74,1.64,1.74,1.58,1.64,1.77,1.66,1.83,0.06,0.57,1.396,1.75,0.08,0.58,1.401,1.64,0.06,0.56,1.402,1.54,0.26,1,1.62,0.21,1,1.75,0.16,1
7/21/2026 9:56:24 AM,1.86,1.75,1.67,1.76,1.55,1.6,1.74,1.63,1.86,0.07,0.57,1.397,1.75,0.08,0.56,1.401,1.66,0.08,0.54,1.399,1.52,0.27,1,1.59,0.23,1,1.73,0.16,1
7/21/2026 9:59:31 AM,1.88,1.77,1.69,1.78,1.65,1.69,1.77,1.7,1.88,0.08,0.57,1.397,1.77,0.07,0.57,1.401,1.69,0.08,0.56,1.401,1.62,0.26,1,1.65,0.2,1,1.77,0.14,1
7/21/2026 10:00:48 AM,1.86,1.76,1.68,1.77,1.69,1.74,1.88,1.77,1.87,0.08,0.58,1.395,1.76,0.1,0.57,1.4,1.67,0.08,0.56,1.4,1.63,0.22,1,1.72,0.16,1,1.84,0.14,1
7/21/2026 10:01:21 AM,1.85,1.75,1.66,1.75,1.65,1.72,1.85,1.74,1.85,0.08,0.57,1.396,1.74,0.09,0.56,1.401,1.66,0.08,0.55,1.4,1.68,0.21,1,1.73,0.16,1,1.85,0.14,1
7/21/2026 10:03:00 AM,1.87,1.75,1.66,1.76,1.62,1.68,1.82,1.71,1.87,0.09,0.56,1.396,1.75,0.08,0.56,1.401,1.66,0.07,0.54,1.401,1.61,0.22,1,1.68,0.18,1,1.84,0.13,1
7/21/2026 10:05:34 AM,1.86,1.77,1.68,1.77,1.83,1.93,2.06,1.94,1.84,0.07,0.58,1.396,1.76,0.07,0.59,1.399,1.67,0.06,0.58,1.399,1.84,0.24,1,1.98,0.18,1,2.08,0.18,1
7/21/2026 10:05:45 AM,1.85,1.75,1.67,1.76,1.84,1.92,2.07,1.94,1.85,0.07,0.58,1.396,1.75,0.07,0.59,1.399,1.68,0.06,0.57,1.399,1.78,0.24,1,1.89,0.17,1,2.04,0.17,1
7/21/2026 10:09:14 AM,1.89,1.78,1.71,1.79,1.85,1.95,2.11,1.97,1.88,0.07,0.58,1.398,1.77,0.08,0.58,1.4,1.71,0.07,0.57,1.398,1.88,0.21,1,1.99,0.15,1,2.16,0.19,1
7/21/2026 10:11:26 AM,1.91,1.78,1.73,1.8,1.94,2.07,2.28,2.1,1.89,0.08,0.62,1.397,1.77,0.09,0.6,1.399,1.72,0.06,0.61,1.398,1.93,0.27,1,2.07,0.21,1,2.26,0.21,1
7/21/2026 10:12:21 AM,1.92,1.79,1.75,1.82,1.95,2.09,2.3,2.12,1.92,0.07,0.63,1.397,1.79,0.09,0.61,1.399,1.75,0.06,0.62,1.399,1.93,0.28,1,2.1,0.21,1,2.29,0.22,1
7/21/2026 10:15:06 AM,1.87,1.75,1.72,1.78,1.96,2.04,2.29,2.1,1.87,0.07,0.63,1.398,1.75,0.08,0.62,1.401,1.72,0.06,0.62,1.4,2.02,0.28,1,2.14,0.22,1,2.34,0.23,1
7/21/2026 10:19:19 AM,1.9,1.76,1.76,1.81,2.28,2.39,2.65,2.44,1.9,0.07,0.64,1.4,1.76,0.07,0.63,1.398,1.76,0.07,0.63,1.398,2.28,0.34,1,2.4,0.25,1,2.68,0.28,1
7/21/2026 10:19:30 AM,1.89,1.76,1.76,1.8,2.35,2.46,2.69,2.5,1.88,0.07,0.63,1.399,1.76,0.07,0.61,1.4,1.76,0.07,0.61,1.398,2.3,0.33,1,2.44,0.27,1,2.65,0.3,1
7/21/2026 10:19:41 AM,1.86,1.73,1.72,1.77,2.27,2.37,2.63,2.42,1.85,0.09,0.64,1.397,1.72,0.09,0.62,1.399,1.72,0.08,0.62,1.397,2.19,0.38,1,2.33,0.31,1,2.58,0.29,1
7/21/2026 10:25:22 AM,1.85,1.72,1.7,1.75,2.62,2.75,3.01,2.8,1.85,0.08,0.62,1.398,1.71,0.09,0.6,1.399,1.7,0.08,0.6,1.399,2.66,0.37,1,2.82,0.31,1,3.11,0.3,1
7/21/2026 10:25:55 AM,1.88,1.75,1.75,1.79,2.85,2.99,3.14,2.99,1.87,0.07,0.61,1.399,1.75,0.07,0.6,1.398,1.74,0.07,0.59,1.398,2.8,0.4,1,3.01,0.31,1,3.13,0.32,1
7/21/2026 10:27:01 AM,1.85,1.72,1.7,1.76,3.22,3.41,3.79,3.47,1.84,0.07,0.63,1.398,1.71,0.08,0.62,1.399,1.69,0.06,0.61,1.399,3.22,0.35,1,3.38,0.32,1,3.81,0.3,1
7/21/2026 10:29:46 AM,1.79,1.69,1.68,1.72,3.83,4.03,4.32,4.06,1.79,0.08,0.58,1.4,1.68,0.07,0.56,1.4,1.67,0.07,0.56,1.4,3.8,0.38,1,3.93,0.31,1,4.2,0.27,1
7/21/2026 10:29:57 AM,1.8,1.7,1.69,1.73,3.25,3.37,3.81,3.47,1.8,0.07,0.6,1.4,1.7,0.07,0.58,1.4,1.68,0.07,0.58,1.4,3.21,0.34,1,3.35,0.27,1,3.81,0.25,1
7/21/2026 10:31:58 AM,1.74,1.63,1.62,1.66,5.1,5.17,5.74,5.34,1.74,0.08,0.56,1.4,1.63,0.08,0.54,1.401,1.61,0.07,0.54,1.401,5.17,0.34,1.1,5.26,0.36,1.1,5.81,0.27,1.1
7/21/2026 10:32:42 AM,1.74,1.63,1.6,1.66,5.44,5.52,5.96,5.64,1.74,0.09,0.55,1.401,1.62,0.09,0.53,1.402,1.6,0.09,0.53,1.402,5.44,0.37,1.1,5.53,0.4,1.1,6.01,0.3,1.1
7/21/2026 10:34:21 AM,1.83,1.71,1.69,1.74,4.71,4.68,5.39,4.93,1.84,0.07,0.57,1.404,1.72,0.08,0.55,1.402,1.69,0.06,0.55,1.402,4.63,0.36,1.1,4.63,0.37,1.1,5.38,0.28,1.1
7/21/2026 10:34:43 AM,1.81,1.69,1.67,1.72,6.78,6.92,7.45,7.05,1.81,0.06,0.57,1.402,1.68,0.06,0.54,1.403,1.67,0.04,0.55,1.402,6.61,0.5,1.2,6.82,0.65,1.2,7.39,0.53,1.3
7/21/2026 10:34:54 AM,1.82,1.69,1.68,1.73,6.54,6.61,7.29,6.82,1.81,0.07,0.57,1.403,1.68,0.06,0.55,1.402,1.67,0.05,0.56,1.402,6.57,0.48,1.2,6.7,0.68,1.2,7.35,0.52,1.3
7/21/2026 10:35:38 AM,1.83,1.7,1.68,1.74,6.46,6.51,7.27,6.75,1.84,0.05,0.58,1.401,1.7,0.06,0.55,1.402,1.68,0.05,0.55,1.402,6.47,0.57,1.2,6.53,0.65,1.2,7.31,0.53,1.3
